Name,City,State,Ranking
Alagappa University,Karaikudi,Tamil Nadu,44
UPES,Dehradun,Uttarakhand,45
Bharathiar University,Coimbatore,Tamil Nadu,46
Jamia Hamdard,New Delhi,Delhi,47
Graphic Era University,Dehradun,Uttarakhand,48
Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,49
King George`s Medical University,Lucknow,Uttar Pradesh,50
University of Jammu,Jammu,Jammu and Kashmir,51
SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,52
Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,53
Mumbai University,Mumbai,Maharashtra,54
International Institute of Information Technology Hyderabad,Hyderabad,Telangana,55
Savitribai Phule Pune University,Pune,Maharashtra,56
Shiv Nadar University,Gautam Buddha Nagar,Uttar Pradesh,57
Manipal University Jaipur,Jaipur,Rajasthan,58
Bharati Vidyapeeth,Pune,Maharashtra,59
Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,60
Chettinad Academy of Research and Education,"Kelambakkam,Chengalpattu District",Tamil Nadu,61
Jain University,Bengaluru,Karnataka,62
Christ University,Bengaluru,Karnataka,63
Punjab Agricultural University,Ludhiana,Punjab,64
Bangalore University,Bengaluru,Karnataka,65
Banasthali Vidyapith,Banasthali,Rajasthan,66
Sri Balaji Vidyapeeth Mahatma Gandhi Medical College Campus,Puducherry,Pondicherry,67
Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,68
Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,69
"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,70
Mysore University,Mysuru,Karnataka,71
Tata Institute of Social Sciences,Mumbai,Maharashtra,72
Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,73
Gujarat University,Ahmedabad,Gujarat,74
"Sher-e-Kashmir University of Agricultural Science & Technologyof Kashmir",Srinagar,"Jammu andKashmir",75
Bharath Institute of Higher Education & Research,Chennai,Tamil Nadu,76
Central University of Punjab,Bathinda,Punjab,77
Chitkara University,Rajpura,Punjab,78
Tezpur University,Tezpur,Assam,79
NITTE,Mangaluru,Karnataka,80
Jawaharlal Nehru Technological University,Hyderabad,Telangana,81
Mizoram University,Aizawl,Mizoram,82
Central University of Tamil Nadu,Tiruvarur,Tamil Nadu,83
Acharya Nagarjuna University,Guntur,Andhra Pradesh,84
Maharishi Markandeshwar,Ambala,Haryana,85
Madurai Kamaraj University,Madurai,Tamil Nadu,85
Sharda University,Greater Noida,Uttar Pradesh,87
Gandhi Institute of Technology And Management (GITAM),Visakhapatnam,Andhra Pradesh,88
Central University of Rajasthan,Kishangarh,Rajasthan,89
Sant Longowal Institute of Engineering & Technology,Longowal,Punjab,90
Padmashree Dr. D. Y. Patil Vidyapeeth,Mumbai,Maharashtra,91
Birla Institute of Technology,Ranchi,Jharkhand,92
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,93
Periyar University,Salem,Tamil Nadu,94
University of Agricultural Sciences,Bengaluru,Karnataka,95
Manav Rachna International Institute of Research & Studies,Faridabad,Haryana,96
Assam University-Silchar,Silchar,Assam,97
University of Lucknow,Lucknow,Uttar Pradesh,98
Avinashilingam Institute for Home Science & Higher Education forWomen,Coimbatore,Tamil Nadu,99
IIIT-Delhi (Indraprastha Institute of Information Technology Delhi),New Delhi,Delhi,100
