ALL UNIVERSITIES,,,,,,
(As on Date:  12-2-2026  15:20:32),,,,,,
Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-1257,COEP Technological University,Maharashtra,Pune,www.coep.org.in,-,Urban
U-1162,COER ROORKEE,Uttarakhand,Haridwar,www.coeruniversity.ac.in,2021,Urban
U-0787,COOCH BEHAR PANCHANAN BARMA UNIVERSITY,West Bengal,Cooch Behar,www.cbpbu.ac.in,2012,Urban
U-0675,COTTON UNIVERSITY,Assam,Kamrup Metro,www.cottonuniversity.ac.in,1901,Urban
U-0892,"CT University, Ludhiana",Punjab,Ludhiana,www.ctuniversity.in,2016,Rural
U-0708,"C.U.SHAH UNIVERSITY, SURENDRANAGAR",Gujarat,Surendranagar,https://www.cushahuniversity.ac.in,2013,Urban
U-1080,"C.V. RAMAN GLOBAL UNIVERSITY, ODISHA",Odisha,Khordha,https://cgu-odisha.ac.in/,2020,Rural
U-0751,DADA LAKHMI CHAND STATE UNIVERSITY OF PERFORMING AND VISUAL ARTS,Haryana,Rohtak,www.dlcsupva.ac.in,2011,Urban
U-0452,Dakshina Bharat Hindi Prachar Sabha,Tamil Nadu,Chennai,www.dbhpscentral.org,1918,Urban
U-1171,DAKSHIN DINAJPUR UNIVERSITY,West Bengal,Dakshin Dinajpur,dduniv.ac.in,2021,Rural
U-0002,Damodaram Sanjivayya National Law University,Andhra Pradesh,Visakhapatnam,https://dsnlu.ac.in,2008,Urban
U-1227,DARJEELING HILLS UNIVERSITY,West Bengal,Darjeeling,https://www.dhu.edu.in,2021,Rural
U-1149,DARSHAN UNIVERSITY,Gujarat,Rajkot,www.darshan.ac.in,2021,Urban
U-0295,Datta Meghe Institute of Higher Education & Research (Deemed to be University),Maharashtra,Nagpur,www.dmiher.edu.in,1990,Rural
U-0634,DAU SHRI VASUDEV CHANDRAKAR KAMDHENU,Chhattisgarh,Durg,www.dsvckvdurg.ac.in,2012,Urban
U-0218,"Davangere University, Davangere",Karnataka,Davanagere,www.davangereuniversity.ac.in,1979,Rural
U-0776,DAV University,Punjab,Jalandhar,www.davuniversity.org,2013,Rural
U-0507,"Dayalbagh Educational Institute, Agra",Uttar Pradesh,Agra,www.dei.ac.in,1947,Urban
U-0856,DAYANANDA SAGAR UNIVERSITY,Karnataka,Bengaluru Urban,www.dsu.edu.in,2014,Rural
U-1335,DBS Global University,Uttarakhand,Dehradun,www.dgu.ac,-,Urban
U-0296,"Deccan College Postgraduate & Research Institute, Pune",Maharashtra,Pune,www.deccancollegepune.org,1939,Urban
U-0161,"Deenbandhu Chhotu Ram University of Science & Technology, Murthal(Sonepat)",Haryana,Sonipat,www.dcrustm.ac.in,1987,Rural
U-0508,"Deen Dayal Upadhyaya Gorakhpur University, Gorakhpur",Uttar Pradesh,Gorakhpur,www.ddugu.ac.in,1956,Urban
U-0297,"Defence Institute of Advanced Technology, Girinagar, Pune",Maharashtra,Pune,www.diat.ac.in,1952,Rural
U-0853,DELHI PHARMACEUTICAL SCIENCES AND RESEARCH UNIVERSITY,Delhi,South,www.dpsru.edu.in,2015,Urban
U-1146,Delhi Skill and Entrepreneurship University,Delhi,South West,www.dseu.ac.in,2020,Urban
U-1312,Delhi Teachers University,Delhi,North West,https://delhiteachersuniversity.edu.in,-,Urban
U-0098,Delhi Technological University,Delhi,North West,www.dtu.ac.in,1941,Urban
U-0684,DESH BHAGAT UNIVERSITY,Punjab,Fatehgarh Sahib,www.deshbhagatuniversity.in,1996,Rural
U-1306,DES PUNE UNIVERSITY,Maharashtra,Pune,www.despu.edu.in,-,Urban
U-1169,DEV BHOOMI UTTARAKHAND UNIVERSITY,Uttarakhand,Dehradun,www.dbuu.ac.in,2021,Rural
U-0270,"Devi Ahilya Vishwavidyalaya, Indore",Madhya Pradesh,Indore,www.dauniv.ac.in,1964,Urban
U-0551,"Dev Sanskriti Vishwavidyalaya, Gayatrikunj",Uttarakhand,Haridwar,www.dsvv.ac.in,2002,Urban
U-1323,Dhamma Dipa International Buddhist University,Tripura,South Tripura,https://ddibu.in/,-,Rural
U-1141,DHANALAKSHMI SRINIVASAN UNIVERSITY,Tamil Nadu,Tiruchirappalli,dsuniversity.ac.in,2021,Urban
U-1058,DHANAMANJURI UNIVERSITY,Manipur,Imphal West,dmu.ac.in,-,Urban
U-1397,Dharanidhar University,Odisha,Keonjhar,www.dduniversity.ac.in,-,Urban
U-0958,DHARMASHASTRA NATIONAL LAW UNIVERSITY,Madhya Pradesh,Jabalpur,www.mpdnlu.ac.in,2018,Urban
U-0129,"Dharmsinh Desai univeristy, Nadiad",Gujarat,Kheda,http://www.ddu.ac.in,1964,Urban
U-0130,"Dhirubhai Ambani Institute of Information & Communication Technology, Gandhi Nagar",Gujarat,Gandhinagar,www.daiict.ac.in,2001,Urban
U-0768,DIAMOND HARBOUR WOMENS UNIVERSITY,West Bengal,South 24 Parganas,www.dhwu.ac.in,2012,Rural
U-0051,"Dibrugarh University, Dibrugarh",Assam,Dibrugarh,dibru.ac.in,1965,Urban
U-0774,DIT UNIVERSITY,Uttarakhand,Dehradun,www.dituniversity.edu.in,1998,Urban
U-1381,Dnyaan Prasad Global University,Maharashtra,Pune,www.dpgu.edu.in,-,Urban
U-0552,"Doon University, Dehradun",Uttarakhand,Dehradun,www.doonuniversity.ac.in,2005,Urban
U-0998,DR. ABDUL HAQ URDU UNIVERSITY,Andhra Pradesh,Kurnool,www.ahuuk.ac.in ,2016,Urban
U-0549,"Dr.A.P.J. ABDUL KALAM TECHNICAL UNIVERSITY ,LUCKNOW",Uttar Pradesh,Lucknow,www.aktu.ac.in,2000,Urban
U-0862,Dr. A.P.J. ABDUL KALAM UNIVERSITY,Madhya Pradesh,Indore,www.aku.ac.in,2016,Urban
U-0010,"Dravidian University, Kuppam, Chittoor District",Andhra Pradesh,Chittoor,www.dravidianuniversity.ac.in,1997,Rural
U-0298,"Dr. Babasaheb Ambedkar Marathwada University, Chhatrapati Sambhajinagar",Maharashtra,Chhatrapati Sambhajinagar,www.bamu.ac.in,1958,Urban
U-0131,"Dr. Babasaheb Ambedkar Open University, Ahmedabad",Gujarat,Ahmedabad,https://baou.edu.in/,1994,Urban
U-0299,"Dr. Babasaheb Ambedkar Technological University, Lonere",Maharashtra,Raigad,www.dbatu.ac.in,1989,Rural
U-0300,"Dr. Balasaheb Sawant Konkan Krishi Vidyaapeeth,(former Konkan Krishi Vidyapeeth) Ratnagiri",Maharashtra,Ratnagiri,www.dbskkv.org,1972,Rural
U-1112,DR BHIMRAO AMBEDKAR LAW UNIVERSITY,Rajasthan,Jaipur,www.alujaipur.ac.in,2019,Urban
U-0374,"Dr. B. R. Ambedkar National Institute of Technology, Jalandhar",Punjab,Jalandhar,www.nitj.ac.in,1987,Urban
U-1070,Dr. B.R Ambedkar National Law University,Haryana,Sonipat,dbranlu.ac.in,2012,Urban
U-0007,"Dr. B. R. Ambedkar Open University, Hyderabad",Telangana,Hyderabad,www.braou.ac.in,1982,Urban
U-0509,"Dr. B. R. Ambedkar University, Agra",Uttar Pradesh,Agra,WWW.DBRAU.AC.IN,1927,Urban
U-0097,Dr. B. R. Ambedkar University Delhi,Delhi,North,www.aud.ac.in,2008,Urban
U-0009,"Dr.B.R.Ambedkar University, Etcherla",Andhra Pradesh,Srikakulam,www.brau.edu.in,1972,Rural
U-1143,DR B R AMBEDKAR UNIVERSITY OF SOCIAL SCIENCES,Madhya Pradesh,Indore,https://brauss.mp.gov.in,2015,Rural
U-0937,Dr. C.V. Raman University,Bihar,Vaishali,www.cvrubihar.ac.in,2018,Rural
U-0994,Dr. C.V RAMAN UNIVERSITY,Madhya Pradesh,Khandwa (East Nimar),www.cvrump.ac.in,2018,Rural
U-0084,"Dr. C. V. Raman University, Kota Bilaspur",Chhattisgarh,Bilaspur,www.cvru.ac.in,2006,Rural
U-0301,"Dr. D.Y.Patil Vidyapeeth, Pune",Maharashtra,Pune,www.dpu.edu.in,2003,Urban
U-0271,"Dr. Harisingh Gaur  Vishwavidyalaya, Sagar",Madhya Pradesh,Sagar,www.dhsgsu.edu.in,1946,Urban
U-1076,DR HOMI BHABHA STATE UNIVERSITY MUMBAI,Maharashtra,Mumbai,www.hbsu.ac.in,2019,Urban
U-1298,DRIEMS UNIVERSITY,Odisha,Cuttack,www.driems.ac.in,-,Rural
U-1426,Dr K N Modi University,Uttar Pradesh,Ghaziabad,https://dknmuncr.edu.in/,-,Urban
U-0393,"Dr K N Modi University, Tonk",Rajasthan,Tonk,www.dknmu.org,2010,Rural
U-0008,"Dr. N.T.R. University of Health Sciences, Vijaywada",Andhra Pradesh,Krishna,http://ntruhs.ap.nic.in,1986,Urban
U-1253,Dr P A Inamdar University,Maharashtra,Pune,www.drpaiu.edu.in,-,Urban
U-0302,"Dr. Panjabrao Deshmukh Krishi Vidyapeeth, Akola",Maharashtra,Akola,www.pdkv.ac.in,1969,Urban
U-1269,DR PREETI GLOBAL UNIVERSITY,Madhya Pradesh,Shivpuri,www.drpreetiglobaluniversity.com,-,Rural
U-0075,"Dr Rajendra Prasad Central Agricultural University, Samastipur",Bihar,Samastipur,www.rpcau.ac.in,1970,Rural
U-1376,Dr. Rajendra Prasad National Law University,Uttar Pradesh,Prayagraj,https://www.rpnlup.ac.in,-,Urban
U-0510,"Dr. Ram Manohar Lohia  Awadh University, Faizabad",Uttar Pradesh,Ayodhya,www.rmlau.ac.in,1975,Urban
U-1200,Dr Ram Manohar Lohia Institute of Medical Sciences,Uttar Pradesh,Lucknow,www.drrmlims.ac.in,2006,Urban
U-0511,"Dr. Ram Manohar Lohiya National Law University, Lucknow",Uttar Pradesh,Lucknow,www.rmlnlu.ac.in,2005,Urban
U-0418,"Dr Sarvepalli Radhakrishnan Rajasthan Ayurved University, Jodhpur",Rajasthan,Jodhpur,https://department.rajasthan.gov.in/home/dptHome/221,2003,Urban
U-0512,DR SHAKUNTALA MISRA NATIONAL REHABILITATION UNIVERSITY,Uttar Pradesh,Lucknow,http://dsmru.up.nic.in,2008,Urban
U-0970,DR. SHYAMA PRASAD MUKHERJEE INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY - NAYA RAIPUR,Chhattisgarh,Raipur,www.iiitnr.ac.in,2014,Rural
U-0982,DR. SHYAMA PRASAD MUKHERJEE UNIVERSITY,Jharkhand,Ranchi,www.dspmuranchi.ac.in,1946,Urban
U-1161,Drs Kiran and Pallavi Patel Global University,Gujarat,Vadodara,www.kpgu.ac.in/,2021,Rural
U-1204,DR SUBHASH UNIVERSITY,Gujarat,Junagadh,dsuni.ac.in,-,Urban
U-0938,Dr. Vishwanath Karad MIT World Peace University,Maharashtra,Pune,www.mitwpu.edu.in,2017,Urban
U-0181,"Dr. Y.S. Parmar University of Horticulture and Forestry, Solan",Himachal Pradesh,Solan,www.yspuniversity.ac.in,1985,Rural
U-1177,Dr YSR Architecture and Fine Arts University,Andhra Pradesh,Y.S.R. Kadapa,www.ysrafu.ac.in,2020,Rural
U-0001,Dr Y S R Horticulture University,Andhra Pradesh,West Godavari,https://drysrhu.ap.gov.in,2007,Rural
U-1286,DURGA SOREN UNIVERSITY,Jharkhand,Deoghar,durgasorenuniversity.ac.in,-,Urban
U-1173,D Y PATIL AGRICULTURE AND TECHNICAL UNIVERSITY,Maharashtra,Kolhapur,www.dyp-atu.org,2020,Rural
U-0294,"D.Y. Patil Educational Society , Kolhapur",Maharashtra,Kolhapur,www.dypatilunikop.org,1989,Urban
U-0984,D Y PATIL INTERNATIONAL UNIVERSITY,Maharashtra,Pune,dypiu.ac.in,2018,Urban
U-1104,D Y PATIL UNIVERSITY PUNE AMBI,Maharashtra,Pune,https://dypatiluniversitypune.edu.in,2019,Rural
U-1099,EKLAVYA UNIVERSITY,Madhya Pradesh,Damoh,www.eklavyauniversity.ac.in,2020,Rural
U-1040,ERA UNIVERSITY,Uttar Pradesh,Lucknow,www.erauniversity.in,2016,Urban
U-0182,"Eternal University, Baru Sahib Sirmour",Himachal Pradesh,Sirmaur,www.eternaluniversity.edu.in,2008,Rural
U-0354,"Fakir Mohan University, Balasore",Odisha,Balasore,https://fmuniversity.nic.in/,1999,Rural
U-1447,Film and Television Institute of India Pune,Maharashtra,Pune,,-,Urban
U-1181,FLAME UNIVERSITY,Maharashtra,Pune,https://www.flame.edu.in/,2015,Rural
U-0898,Footwear Design and Development Institute,Uttar Pradesh,Gautam Buddha Nagar,www.fddiindia.com,1986,Urban
U-0553,"Forest Research Institute, Dehradun",Uttarakhand,Dehradun,www.fridu.edu.in,1991,Urban
U-1346,FS University,Uttar Pradesh,Firozabad,fsu.edu.in,-,Urban
U-1354,Future University,Uttar Pradesh,Bareilly,www.futureuniversity.in,-,Urban
U-0643,GALGOTIAS UNIVERSITY,Uttar Pradesh,Gautam Buddha Nagar,www.galgotiasuniversity.edu.in,2011,Urban
U-0453,"Gandhigram Rural Institute, Dindigul",Tamil Nadu,Dindigul,www.ruraluniv.ac.in,1956,Rural
U-1071,"GANDHI INSTITUTE OF ENGINEERING AND TECHNOLOGY UNIVERSITY, ODISHA, GUNUPUR (GIET UNIVERSITY)",Odisha,Rayagada,www.giet.edu,1997,Rural
U-0011,"Gandhi Institute of Technology & Management (GITAM) University, Visakhapatnam",Andhra Pradesh,Visakhapatnam,https://www.gitam.edu/,1980,Rural
U-1203,GANDHINAGAR UNIVERSITY,Gujarat,Gandhinagar,www.gandhinagaruni.ac.in,-,Rural
U-0852,GANGADHAR MEHER UNIVERSITY,Odisha,Sambalpur,www.gmuniversity.ac.in,2015,Urban
U-0132,"Ganpat University, Ganpat Vidyanagar, Kherva",Gujarat,Mahesana,www.ganpatuniversity.ac.in,1996,Rural
U-0918,Garden City University,Karnataka,Bengaluru Urban,www.gardencity.university ,2013,Urban
U-0968,Gati Shakti Vishwavidyalaya,Gujarat,Vadodara,https://gsv.ac.in/,2018,Urban
U-0052,"Gauhati University, Guwahati",Assam,Kamrup Metro,www.gauhati.ac.in,1948,Urban
U-0514,"Gautam Buddha University, Greater Noida, Gautam Budh Nagar",Uttar Pradesh,Gautam Buddha Nagar,www.gbu.ac.in,2002,Urban
U-0554,"G.B. Pant Universtiy of Agriculture and Technology, Pantnagar",Uttarakhand,Udham Singh Nagar,www.gbpuat.ac.in,1960,Rural
U-0720,G.D. GOENKA UNIVERSITY,Haryana,Gurugram,www.gdgoenkauniversity.com,2013,Urban
U-0746,GEETANJALI UNIVERSITY,Rajasthan,Udaipur,www.geetanjaliuniversity.com,2011,Rural
U-1201,GEETA UNIVERSITY,Haryana,Panipat,https://geetauniversity.edu.in/,-,Rural
U-1358,GH Raisoni  International Skill Tech University,Maharashtra,Pune,www.ghristu.edu.in,-,Rural
U-1411,G H Raisoni Skill Tech University Nagpur,Maharashtra,Nagpur,www.ghrstu.edu.in,-,Urban
U-0977,G.H. RAISONI UNIVERSITY,Madhya Pradesh,Chhindwara,www.ghru.edu.in,2016,Rural
U-1096,"G H RAISONI UNIVERSITY, AMRAVATI",Maharashtra,Amravati,https://ghru.edu.in/amravati,2018,Rural
U-1249,GIRIJANANDA CHOWDHURY UNIVERSITY,Assam,Kamrup,https://gcuniversity.ac.in/,-,Rural
U-0513,"G.L.A University, Mathura",Uttar Pradesh,Mathura,www.gla.ac.in,1998,Rural
U-0645,GLOCAL UNIVERSITY,Uttar Pradesh,Saharanpur,www.glocaluniversity.edu.in,2012,Rural
U-0775,GLS UNIVERSITY,Gujarat,Ahmedabad,www.glsuniversity.ac.in,2015,Urban
U-1276,GM UNIVERSITY,Karnataka,Davanagere,www.gmu.ac.in,-,Urban
U-0789,GNA UNIVERSITY,Punjab,Kapurthala,www.gnauniversity.edu.in,2014,Rural
U-0121,"Goa University, Goa",Goa,North Goa,www.unigoa.ac.in,1984,Rural
U-1391,Godavari Global University,Andhra Pradesh,East Godavari,www.ggu.edu.in,-,Rural
U-0303,"Gokhale Institute of Politics & Economics, Pune",Maharashtra,Pune,www.gipe.ac.in,1930,Urban
U-0962,GOKUL GLOBAL UNIVERSITY,Gujarat,Patan,www.gokuluniversity.ac.in,2018,Rural
U-0658,"GONDWANA UNIVERSITY, GADCHIROLI",Maharashtra,Gadchiroli,https://unigug.ac.in,2011,Urban
U-1066,GOPAL NARAYAN SINGH UNIVERSITY,Bihar,Rohtas,www.gnsu.ac.in,2018,Rural
U-0896,"Govind Guru Tribal University, Banswara",Rajasthan,Banswara,www.ggtu.ac.in,2012,Rural
U-0638,GRAPHIC ERA HILL UNIVERSITY,Uttarakhand,Dehradun,http://www.gehu.ac.in,2011,Urban
U-0555,"Graphic Era University, Dehradun",Uttarakhand,Dehradun,www.geu.ac.in,1997,Urban
U-0759,G S F C UNIVERSITY,Gujarat,Vadodara,www.gsfcuniverity.ac.in,2014,Urban
U-1380,"G.S. UNIVERSITY, HAPUR",Uttar Pradesh,Hapur,https://gsuniversity.ac.in/,-,Urban
U-0133,"Gujarat Ayurveda University, Jamnagar",Gujarat,Jamnagar,www.ayurveduniversity.edu.in,1965,Urban
U-1135,GUJARAT BIOTECHNOLOGY UNIVERSITY,Gujarat,Gandhinagar,www.gbu.edu.in,2018,Rural
U-1036,GUJARAT MARITIME UNIVERSITY,Gujarat,Gandhinagar,gmu.edu.in,2017,Urban
U-0134,"Gujarat National Law University, Gandhinagar",Gujarat,Gandhinagar,www.gnlu.ac.in,2003,Urban
U-0135,"Gujarat Technological University, Ahmedabad",Gujarat,Ahmedabad,www.gtu.ac.in,2007,Urban
U-0136,"Gujarat University, Ahmedabad",Gujarat,Ahmedabad,gujaratuniversity.ac.in,1949,Urban
U-0817,GUJARAT UNIVERSITY OF TRANSPLANTATION SCIENCES,Gujarat,Ahmedabad,www.guts.ac.in,2015,Urban
U-0137,"Gujarat Vidyapith, Ahmedabad",Gujarat,Ahmedabad,,1920,
U-0219,"Gulbarga University, Gulbarga",Karnataka,Kalaburagi,https://gug.ac.in/,1971,Urban
U-0375,"Guru Angad Dev Veterinary & Animal Sciences University, Ludhiana",Punjab,Ludhiana,www.gadvasu.in,2005,Urban
U-0085,"Guru Ghasidas Vishwavidyalaya, Bilaspur",Chhattisgarh,Bilaspur,www.new.ggu.ac.in,1983,Rural
U-0099,Guru Gobind Singh Indraprastha University,Delhi,West,www.ipu.ac.in,1998,Urban
U-1021,"GURUGRAM UNIVERSITY, GURUGRAM",Haryana,Gurugram,www.gurugramuniversity.ac.in,2017,Urban
U-1414,Guru Jambheshwar University,Uttar Pradesh,Moradabad,www.gjum.ac.in,-,Urban
U-0162,"Guru  Jambheshwar University of Science and Technology, Hissar",Haryana,Hisar,https://www.gjust.ac.in,1995,Urban
U-0653,GURU KASHI UNIVERSITY,Punjab,Bathinda,www.gku.ac.in,2011,Rural
U-0556,"Gurukul Kangri Vishwavidyalaya, Haridwar",Uttarakhand,Haridwar,www.gkv.ac.in,1902,Urban
U-1436,Gurukul Vidyapeeth University,Sikkim,Namchi,,-,Rural
U-0376,"Guru Nanak Dev University, Amritsar",Punjab,Amritsar,www.gndu.ac.in,1969,Urban
U-1364,Guru Nanak University,Telangana,Ranga Reddy,,-,Rural
U-0660,GURU RAVIDAS AYURVED UNIVERSITY,Punjab,Hoshiarpur,www.graupunjab.org,2011,Rural
U-1287,GYANMANJARI INNOVATIVE UNIVERSITY,Gujarat,Bhavnagar,www.gmiu.edu.in,-,Urban
U-1344,Gyanodaya University,Madhya Pradesh,Neemuch,https://gyanodayauniversity.ac.in,-,Rural
U-1351,Gyanveer University,Madhya Pradesh,Sagar,http://gyanveeruniversity.edu.in/,-,Rural
U-0864,HARCOURT BUTLER TECHNICAL UNIVERSITY,Uttar Pradesh,Kanpur Nagar,www.hbtu.ac.in,1921,Urban
U-1172,HARICHAND GURUCHAND UNIVERSITY,West Bengal,North 24 Parganas,www.harichandguruchanduniversity.ac.in,2019,Rural
U-1059,Haridev Joshi University of Journalism & Mass Communication,Rajasthan,Jaipur,www.hju.ac.in,2019,Urban
U-1255,HARIDWAR UNIVERSITY,Uttarakhand,Haridwar,www.huroorkee.ac.in,-,Rural
U-1322,Hassan University,Karnataka,Hassan,https://www.hassanuniversity.ac.in/home.aspx,-,Rural
U-1252,HAVERI UNIVERSITY,Karnataka,Haveri,haveriuniversity.ac.in,-,Rural
U-0138,"Hemchandracharya North Gujart University, Patan",Gujarat,Patan,www.ngu.ac.in,1986,Urban
U-0831,HEMCHAND YADAV VISHWAVIDYALAYA,Chhattisgarh,Durg,www.durguniversity.ac.in,2015,Urban
U-0557,"Hemwati Nandan Bahuguna Garhwal Univeristy, Srinagar, Garhwal",Uttarakhand,Pauri Garhwal,www.hnbgu.ac.in,1973,Urban
U-0819,HEMWATI NANDAN BAHUGUNA MEDICAL EDUCATION UNIVERSITY,Uttarakhand,Dehradun,www.hnbumu.ac.in,2014,Urban
U-0086,"Hidayatullah National Law University, Raipur",Chhattisgarh,Raipur,www.hnlu.ac.in,2003,Rural
U-1035,HIMACHAL PRADESH NATIONAL LAW UNIVERSITY SHIMLA,Himachal Pradesh,Shimla,www.hpnlu.ac.in,2016,Rural
U-0598,"Himachal Pradesh Technical University, Hamirpur",Himachal Pradesh,Hamirpur,www.himtu.ac.in,2010,Rural
U-0183,"Himachal Pradesh University , Shimla",Himachal Pradesh,Shimla,www.hpuniv.ac.in,1970,Urban
U-0912,HIMALAYAN GARHWAL UNIVERSITY,Uttarakhand,Pauri Garhwal,www.hgu.ac.in,2017,Rural
U-0719,"HIMALAYAN UNIVERSITY, ITANAGAR",Arunachal Pradesh,Papum Pare,www.himalayanuniversity.com,2013,Rural
U-1237,HIMALAYIYA UNIVERSITY,Uttarakhand,Dehradun,www.sparshhimalayauniversity.edu.in,-,Rural
U-1168,HINDI UNIVERSITY,West Bengal,Howrah,www.hindiuniv.ac.in,2020,Urban
U-0454,"Hindustan Institute of Technology and Science, Kancheepuram",Tamil Nadu,Chengalpattu,www.hindustanuniv.ac.in,1985,Rural
U-0304,"Homi Bhabha National Institute, Mumbai",Maharashtra,Mumbai,www.hbni.ac.in,2005,Urban
U-0607,"Homoeopathy University, Jaipur",Rajasthan,Jaipur,www.homoeopathyuniversity.org   & www.homoeopathyuniversity.com,2009,Urban
U-1368,"HRIT University, Ghaziabad",Uttar Pradesh,Ghaziabad,www.hrituniversity.edu.in,-,Rural
U-1151,Hyderabad (SIND) National Collegiate University,Maharashtra,Mumbai,www.hsncu.edu.in,2019,Urban
U-0012,"ICFAI Foundation for Higher Education, Hyderabad",Telangana,Hyderabad,http://www.ifheindia.org,1995,Urban
U-0635,ICFAI UNIVERSITY,Chhattisgarh,Durg,www.iuraipur.edu.in,2011,Urban
U-0696,IEC (INDIA EDUCATION CENTRE) UNIVERSITY,Himachal Pradesh,Solan,www.iecuniversity.com,2012,Rural
U-1064,IES UNIVERSITY,Madhya Pradesh,Bhopal,www.iesuniversity.ac.in,2019,Rural
U-0515,"IFTM University, Moradabad",Uttar Pradesh,Moradabad,www.iftmuniversity.ac.in,1996,Rural
U-0851,IIHMR UNIVERSITY,Rajasthan,Jaipur,www.iihmr.edu.in,1984,Urban
U-0988,IILM UNIVERSITY,Haryana,Gurugram,www.iilm.edu.in,2018,Urban
U-1219,IILM UNIVERSITY,Uttar Pradesh,Gautam Buddha Nagar,https://iilm.ac.in,-,Urban
U-0889,IIMT University,Uttar Pradesh,Meerut,www.iimtu.edu.in,2016,Urban
U-0394,"IIS (Deemed to be University), Jaipur",Rajasthan,Jaipur,www.iisuniv.ac.in,1995,Urban
U-0382,"I K Gujral Punjab Technical University, Jalandhar",Punjab,Kapurthala,www.ptu.ac.in,1997,Rural
U-0773,IMS UNISON UNIVERSITY,Uttarakhand,Dehradun,www.iuu.ac,1996,Urban
U-1309,INDIA INTERNATIONAL UNIVERSITY OF LEGAL EDUCATION AND RESEARCH,Goa,South Goa,iiuler.edu.in,-,Rural
U-0101,Indian Agricultural Research Institute (KRISHI PUSHA) New Delhi.,Delhi,New Delhi,www.iari.res.in,1905,Urban
U-1049,INDIAN ASSOCIATION FOR THE CULTIVATION OF SCIENCE,West Bengal,Kolkata,iacs.res.in,1876,Urban
U-0584,"INDIAN INSTITUTE OF ENGINEERING SCIENCE AND TECHNOLOGY, SHIBPUR",West Bengal,Howrah,www.iiests.ac.in,1856,Urban
U-0102,"Indian Institute of Foreign Trade, Delhi",Delhi,New Delhi,www.iift.edu,1963,Urban
U-1334,"INDIAN INSTITUTE OF FOREST MANAGEMENT, BHOPAL",Madhya Pradesh,Bhopal,www.iifm.ac.in,-,Urban
U-1193,Indian Institute of Information Technology,Madhya Pradesh,Bhopal,www.iiitbhopal.ac.in,2017,Urban
U-1158,Indian Institute of Information Technology Agartala,Tripura,West Tripura,www.iiitagartala.ac.in,2018,Rural
U-0516,"Indian Institute of Information Technology, Allahabad",Uttar Pradesh,Prayagraj,www.iiita.ac.in,1999,Rural
U-0953,Indian Institute of Information Technology Bhagalpur,Bihar,Bhagalpur,www.iiitbh.ac.in,2017,Rural
U-0863,"Indian Institute of Information Technology Design And Manufacturing, Kurnool",Andhra Pradesh,Kurnool,www.iiitk.ac.in,2015,Rural
U-0455,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Tamil Nadu,Chengalpattu,www.iiitdm.ac.in,2007,Rural
U-0803,"Indian Institute of Information Technology, Dharwad",Karnataka,Dharwad,http://www.iiitdwd.ac.in,2015,Urban
U-0795,"Indian Institute of Information Technology, Guwahati",Assam,Kamrup Metro,www.iiitg.ac.in,2013,Urban
U-0796,"Indian Institute of Information Technology, Kalyani",West Bengal,Nadia,http://www.iiitkalyani.ac.in,2014,Urban
U-0799,"Indian Institute of Information Technology, Kota",Rajasthan,Kota,www.iiitkota.ac.in,2013,Urban
U-0802,"Indian Institute of Information Technology, Kottayam",Kerala,Kottayam,www.iiitkottayam.ac.in,2015,Rural
U-0801,"Indian Institute of Information Technology, Lucknow",Uttar Pradesh,Lucknow,www.iiitl.ac.in,2014,Urban
U-0841,"Indian Institute of Information Technology, Nagpur",Maharashtra,Nagpur,www.iiitn.ac.in,2016,Rural
U-0804,"Indian Institute of Information Technology, Pune",Maharashtra,Pune,www.iiitp.ac.in,2016,Urban
U-1089,Indian Institute of Information Technology Raichur,Karnataka,Raichur,www.iiitr.ac.in,2019,Urban
U-0840,"Indian Institute of Information Technology, Ranchi",Jharkhand,Ranchi,https://iiitranchi.ac.in/,2016,Urban
U-0770,"Indian Institute of Information Technology, Senapati",Manipur,Senapati,www.iiitmanipur.ac.in,2014,Rural
U-0800,"Indian Institute of Information Technology, Sonipat",Haryana,Sonipat,iiitsonepat.ac.in,2014,Rural
U-0760,"Indian Institute of Information Technology, Sri City",Andhra Pradesh,Chittoor,www.iiits.ac.in,2013,Rural
U-0754,"Indian Institute of Information Technology, Srirangam",Tamil Nadu,Tiruchirappalli,www.iiitt.ac.in,2013,Rural
U-0954,Indian Institute of Information Technology Surat,Gujarat,Surat,www.iiitsurat.ac.in,2017,Urban
U-0797,"Indian Institute of Information Technology, UNA",Himachal Pradesh,Una,www.iiitu.ac.in,2014,Urban
U-0798,"Indian Institute of Information Technology, Vadodara",Gujarat,Vadodara,www.iiitvadodara.ac.in,2013,Urban
U-1016,Indian Institute of Management Ahmedabad,Gujarat,Ahmedabad,https://www.iima.ac.in,1961,Urban
U-1001,Indian Institute of Management Amritsar,Punjab,Amritsar,www.iimamritsar.ac.in,2015,Rural
U-1014,Indian Institute of Management Bangalore,Karnataka,Bengaluru Urban,www.iimb.ac.in,1973,Urban
U-1006,Indian Institute of Management Bodh Gaya,Bihar,Gaya,www.iimbg.ac.in,2015,Rural
U-1012,Indian Institute of Management Indore,Madhya Pradesh,Indore,www.iimidr.ac.in,1996,Urban
U-1004,"Indian Institute of Management, Jammu And Kashmir",Jammu and Kashmir,Jammu,www.iimj.ac.in,2016,Urban
