Aishe Code,Name,State,Website
C-16507,thiruvalluvar college of engineering and technology,Tamil Nadu,https://www.tcet.co.in
C-19520,tirumala engineering college,Telangana,https://www.trml.ac.in
C-18162,"tirumala engineering college, jonnalagadda(post), narasaraopet, pin-522601(cc-ne)",Andhra Pradesh,https://tecnrt.org
C-16617,t.j. institute of technology,Tamil Nadu,https://www.tjit.edu.in
C-1285,"t. john institute of technology, bangalore",Karnataka,https://www.tjohncollege.com
C-16619,t.j.s. engineering college,Tamil Nadu,https://www.tjsec.in
C-43683,"tkm college of engineering , kollam",Kerala,https://www.tkmce.ac.in
C-9463,t.k.m.institute of technology,Kerala,https://www.tkmit.ac.in
C-19714,tkr college of engineering & technology,Telangana,https://www.tkrcet.ac.in
C-53610,toms college of engineering ,Kerala,https://www.toms.ac.in
C-1361,"tontadarya college of engineering, gadag",Karnataka,https://www.tce.ac.in
C-43634,"travancore engineering college, oyoor, kollam",Kerala,https://www.travancoreengg.ac.in
C-24991,trichy engineering college,Tamil Nadu,https://www.trichyengg.ac.in
C-50938,trinity college of engineering,Kerala,https://www.thetrinitycollege.in
C-19671,trinity college of engineering and technology,Telangana,https://www.tcek.ac.in
C-19698,trinity college of engineering & technology,Telangana,http://trinityengineering.edu.in
C-9595,tripura institute of technology,Tripura,https://titagartala.ac.in
C-19511,trr college of engineering,Telangana,https://www.trrinstitutions.edu.in
C-44585,"tssm's bhivarabai sawant college of engineering & research, narhe, taluka haveli, district pune 411041.",Maharashtra,https://www.tssm.edu.in
C-18670,"tulsiramji gaikwad-patil college of engineering and technology, nagpur.",Maharashtra,https://www.tgpcet.com
C-1366,"ubdt college of engineering, davanagere",Karnataka,https://www.ubdtce.org
C-36192,"""ujjain engineering college, sanwer road, ujjain",Madhya Pradesh,http://www.uecu.ac.in
C-43765,"ukf college of engineering and technology, parippally, kollam",Kerala,https://www.ukfcet.ac.in
C-26813,"ultra college of engineering and technology, madurai",Tamil Nadu,https://www.ucetw.ac.in
C-47913,"united college of engineering and research, allahabad",Uttar Pradesh,https://www.united.ac.in
C-36990,united  institute of technology,Tamil Nadu,https://www.uit.ac.in
C-46689,"united institute of technology, allahabad",Uttar Pradesh,https://www.united.ac.in
C-68237,unitedworld institute of technology,Gujarat,https://www.https://karnavatiuniversity.edu.in/uit/
C-31440,unity in-formative institute of technology vidisha,Madhya Pradesh,https://unitiinformative.com
C-18106,"universal college of engineering & technology, dokiparru(v), medikondur(m),pin-522438  (cc-nf)",Andhra Pradesh,https://www.ucet.edu.in
C-45260,"universal college of engineering technology, tirunelveli",Tamil Nadu,https://www.unienggtech.com
C-43311,"universal engineering college, valivattam",Kerala,https://www.uec.ac.in
C-55188,universal institute of technology balaghat,Madhya Pradesh,https://universalinstitute.edu
C-55113,university college of engineering,Andhra Pradesh,https://www.aknu.edu.in
C-16472,"university college of engineering, arani",Tamil Nadu,https://www.aucearni.in
C-25048,"university college of engineering, ariyalur",Tamil Nadu,https://www.auucea.edu.in
C-47685,"university college of engineering, banswara ",Rajasthan,https://gecbanswara.ac.in
C-59033,"university college of engineering, bit campus, tiruchirappalli",Tamil Nadu,https://www.aubit.edu.in
C-26786,"university college of engineering, dindigul",Tamil Nadu,https://www.auucedgl.ac.in
C-56779, university college of engineering jntuk narasaraopet,Andhra Pradesh,http://jntukucen.ac.in
C-18154,"university college of engineering, kakinada (autonomous)",Andhra Pradesh,https://www.jntucek.ac.in
C-16461,"university college of engineering, kancheepuram",Tamil Nadu,https://www.aucek.in
C-44481,"university college of engineering, kariavattom",Kerala,https://www.ucek.in
C-27616,"university college of engineering,kothagudam",Telangana,https://www.kuce.ac.in
C-11606,"university college of engineering, muttom, thodupuzha, idukki",Kerala,https://www.ucet.ac.in
C-27035,"university college of engineering, nagercoil",Tamil Nadu,https://www.ucen.ac.in
C-61514,university college of engineering osmania university hyderabad,Telangana,https://-
C-25056,"university college of engineering, panruti",Tamil Nadu,https://www.ucep.edu.in
C-24997,"university college of engineering, pattukkottai",Tamil Nadu,https://www.aucepkt.edu.in
C-26803,"university college of engineering, ramanathapuram",Tamil Nadu,https://www.aucermd.edu.in
C-32695,university college of engineering & technology,Andhra Pradesh,https://www.anu.ac.in
C-44450,university college of engineering & technology,Jharkhand,https://www.ucetvbu.ac.in
C-52293,university college of engineering & technology  for women,Telangana,https://kakatiya.ac.in
C-16598,"university college of engineering, tindivanam",Tamil Nadu,https://www.aucet.in
C-25034,"university college of engineering, tirukkuvalai",Tamil Nadu,https://www.aucetk.edu.in
C-16587,"university college of engineering, villupuram",Tamil Nadu,https://aucev.edu.in
C-61540,university institute of technology,West Bengal,https://-
C-51990,"university institute of technology, adoor",Kerala,https://www.keralauniversity.ac.in
C-54397,"university institute of technology, alappuzha",Kerala,https://www.uitalleppey.org
C-60345,"university institute of technology, bharanikavu",Kerala,https://sites.google.com/view/uitbharanickavu/home
C-59069,university institute of technology kanjiramkulam,Kerala,https://www.keralauniversity.ac.in
C-51989,"university institute of technology, karuvatta",Kerala,http://uitkaruvatta.unaux.com/?i=1
C-51979,"university institute of technology, kottrarakara",Kerala,https://www.uitktr.in
C-54555,"university institute of technology, kuravankonam, thiruvananthapuram",Kerala,https://keralauniversity.ac.in
C-51991,"university institute of technology, mannady",Kerala,https://keralauniversity.ac.in
C-60085,"university institute of technology, mannancherry regional centre",Kerala,https://www.uitmncri.com
C-60293,university institute of technology mannar,Kerala,https://www.keralauniversity.ac.in
C-59556,"university institute of technology, muhamma regional centre, kayippuram",Kerala,https://www.uitcharamangalam@gmail.com
C-59000,"university institute of technology, muthukulam",Kerala,https://uitmuthukulam.com
C-54247,"university institute of technology, pathanapuram",Kerala,https://-
C-60098,"university institute of technology,pathiyoor",Kerala,https://www.keralauniversity.ac.in/uits
C-70078,"university institute of technology,regional centre,azhoor",Kerala,https://www.keralauniversity.ac.in
C-62105,university institute of technology regional centre pallickal varkala,Kerala,https://-
C-64062,university institute of technology regional centre paravur ,Kerala,https://www.uitparavur.com
C-52123,university institute of technology regional centre pirappancode,Kerala,https://www.keralauniversity.ac.in/uit-home
C-35953,"university institute of technology, rgpv",Madhya Pradesh,https://www.uitrgpv.ac.in
C-58039,"university institute of technology, rgpv, shahdol",Madhya Pradesh,http://uitshahdol.rgpv.ac.in
C-51775,"university institute of technology, thenmala",Kerala,https://www.keralauniversity.ac.in
C-60356,university institute of technology (uit) ittiva,Kerala,https://-
C-58832, university institute of technology(uit)  kallara,Kerala,https://google.com/view/uitkallara
C-52002,"university institute of technology, university of kerala, neyyattinkara regional centre",Kerala,https://www.uitnta.college
C-63376,university institute of technology vallakkadavu,Kerala,https://-
C-52258,"university institute of technology, vellarada centre",Kerala,https://www.uitvellarada.edu.in
C-62102,"university institute of technology, yeroor",Kerala,https://keralauniversity.ac.in
C-27060,"university v.o.c college of engineering,tuticorin",Tamil Nadu,http://www.annaunivtut.in
C-27068,unnamalai institute of technology,Tamil Nadu,https://uitkovilpatti.ac.in
C-44230,usha mittal institute of technology for women,Maharashtra,https://www.umit.ac.in
C-18007,"usha rama college of engineering & technology,nh-5, telaprolu, near gannavaram, unguturu mandal, pin- 521109.(cc-ng)",Andhra Pradesh,https://www.usharama.edu.in
C-19948,vaagdevi college of engineering,Telangana,https://www.vaagdevi.edu.in
C-27419,"vaagdevi college of engineering, bollikuknta, warangal",Telangana,https://www.vagdevmca.org
C-19861,vaagdevi engineering college,Telangana,https://www.vecw.edu.in
C-26973,"vaagdevi institute of technology & science, proddatur",Andhra Pradesh,https://www.vitspdtr.ac.in
C-19628,vageswari college of engineering,Telangana,https://www.vgsek.ac.in
C-48272,vaigai college of engineering,Tamil Nadu,https://www.vaigai.org
C-36089,"vaishnavi institute of technology and science, village-deepadi,p.o. misrod,bhopal",Madhya Pradesh,https://www.vitsbhopal.com
C-25041,vandayar engineering college,Tamil Nadu,https://www.vandayar.in
C-17923,"varaprasad reddy institute of technology, siddharth nagar, kantepudi(v), sattenapalli(m), pin -522438(cc-a7)",Andhra Pradesh,https://www.ngi.ac.in
C-19650,vardhaman college of engineering,Telangana,https://www.vardhaman.org
C-37092,varuvan vadivelan institute of technology,Tamil Nadu,https://www.vvitengineeringcollege.org
C-26162,vasavi college of engineering,Telangana,https://www.vce.ac.in
C-18003,"vasireddy venkatadri institute of technology, nambur (v), pedakakani(m), pin-522508(cc-bq)",Andhra Pradesh,https://www.vvitguntur.com
C-35395,vaugh school of agricultural engineering & technology,Uttar Pradesh,https://-
C-32906,v.d. institute of technology,Delhi,https://www.vdit.org
C-30043,"vedang institute of technology (vit), khurda, bhubaneswar",Odisha,https://www.vedang.in
C-25228,"vedant college of engineering & technology,bundi",Rajasthan,https://www.vedantcollege.org
C-8196,"vedavyasa institute of technology, ponnempadam",Kerala,https://www.vedavyasa.org
C-51524,vedica institute of technology,Madhya Pradesh,https://www.vitbhopal.in
C-26799,"veerammal engineering college, dindigul",Tamil Nadu,https://www.pvpveerammal.com
C-1308,"veerappa nisty engineering college, hasnapur",Karnataka,https://www.veerappanistyecs.org
C-46058,"veer kunwar institute of technology, nagina road, bijnor",Uttar Pradesh,https://www.vkit.in
C-18085,"velaga nageswara rao college of engineering, g.b.c.road, ponnur,  pin- 522124 (cc-nk)",Andhra Pradesh,https://www.vnrce.ac.in
C-37094,velalar college of engineering and technology,Tamil Nadu,https://www.velalarengg.ac.in
C-26781,"velammal college of engineering & technology, madurai",Tamil Nadu,https://www.vcet.ac.in
C-16535,velammal engineering college,Tamil Nadu,https://www.velammal.edu.in
C-16550,velammal institute of technology,Tamil Nadu,https://www.velammalitech.edu.in
C-49441,"vellore institute of technology, chennai",Tamil Nadu,https://www.chennai.vit.ac.in
C-16616,vel tech high tech dr.rangarajan dr.sakunthala engineering college,Tamil Nadu,https://www.velhightech.com
C-16490,vel tech multi tech dr. rangarajan dr. sakunthala engineering college,Tamil Nadu,https://www.veltechmultitech.org
C-1288,"vemana institute of technology, bangalore",Karnataka,https://www.vemanait.edu.in
C-46193,"venkateshwara institute of technology, delhi- rorrkee bypass, jatoli, meerut",Uttar Pradesh,https://www.venkateshwaragroup.in
C-25026,vetri vinayaha college of engineering and technology,Tamil Nadu,https://www.vetrivinayaha.org
C-18835,"vidarbha institute of technology, bhiwapur",Maharashtra,https://www.vit.edu.in
C-45064,vidhyadeep institute of engineering and technology,Gujarat,https://www.vidhyadeep.org
C-48583,vidhyadeep institute of engineering and technology(diploma),Gujarat,https://www.vidhyadeep.org
C-61970,vidush somany institute of technology and research,Gujarat,https://-
C-37047,vidyaa vikas college of engineering and technology,Tamil Nadu,https://www.vvcet.ac.in
C-46188,"vidya college of engineering, meerut",Uttar Pradesh,https://www.vce.vidya.edu.in
C-19582,vidya jythi institute of technology,Telangana,https://www.vjit.ac.in
C-71061,vidya memorial institute of technology,Jharkhand,https://www.vmitranchi.in
C-41403,"vidya niketan global institute's vidya niketan college of engineering  address: 670, taluka - sangamner, district ahmednagar 422602  ",Maharashtra,https://www.vidyaniketanglobal.com
C-72451,vidya prasarak mandal's college of engineering jnanadweepa thane college campus chendani bunder road thane,Maharashtra,https://www.vpmthane.org
C-51860,"vidya prasarini sabhas college of engineering and technology, lonavala",Maharashtra,https://www.vpscet.in
C-41689,"vidya pratishthan's kamalnayan bajaj institute of engineering & technology, baramati, m.i.d.c.road, district - pune",Maharashtra,https://www.vpkbiet.org
C-1273,"vidya vardhaka college of engineering, mysore",Karnataka,https://www.vvce.ac.in
C-34211,vidyavardhinis college of engineering and technology vidyavardhinis college campus vasai road (western railway) dist thane 401 202,Maharashtra,https://www.vcet.edu.in
C-29596,vidya vihar institute of technology,Bihar,https://vvit.org
C-1353,"vidya vikas institute of engineering & technology, mysore",Karnataka,https://www.vidyavikasengineering.com
C-19502,vif college of engineering & technology,Telangana,https://www.vifcollege.com
C-33937,vighnaharta trust s shivajirao s jondhale college of engineering &technology asangaon tal shahapur  dist thane,Maharashtra,https://www.jondhleengg.org
C-19700,vignana bharathi institute of technology,Telangana,https://www.vbithyd.ac.in
C-19678,vignan institute of technology & sciences,Telangana,https://www.vignanits.ac.in
C-18001,"vignan's lara institute of technology & science, vadlamudi, chebrolu mandal, pin-522213(cc-fe)",Andhra Pradesh,https://www.vignanlara.org
C-17906,"vignan's nirula institute of technology & science for women, vign avenue, palakaluru road  , pin-522 005(cc-nn)",Andhra Pradesh,https://www.vignannirula.org
C-16568,vi institute of technology,Tamil Nadu,https://www.siat.edu.in
C-19820,vijaya engineering college,Telangana,https://www.vjeckmm.edu.in
C-18089,"vijaya institute of technology for women,enikepadu, vijayawada, pin-521108  (cc-np)",Andhra Pradesh,https://www.vitw.edu.in
C-30077,"vijayanjali institute of technology (vit), balasore",Odisha,https://www.vitbalasore.com
C-19635,vijay rural engineering college,Telangana,https://www.vrec.ac.in
C-17911,vikas college of engineering and technology,Andhra Pradesh,https://vikasinstitutionsnunna.org
C-30173,vikash institute of technology,Odisha,https://vitbgh.odishavikash.com/
C-18200,"vilasrao deshmukh college of engineering and technology, mauda",Maharashtra,https://www.vdcet.com
C-43798,"vimal jyothi engineering college, jyothi nagar, chemperi, kannur",Kerala,https://www.vjec.ac.in
C-10214,vinayaka mission's kirupananda variyar engineering college,Tamil Nadu,https://www.vmkvec.ac.in
C-36093,"vindhya institute of technology & science, karhi road, amoudha, satna-485441",Madhya Pradesh,https://vitsdpr.ac.in
C-27032,vins christian college of engineering,Tamil Nadu,https://www.vinsengineeringcollege.org
C-27502,"vinuthna institute of technology & science, hasanparthy (v&m), warangal",Telangana,https://vinuthnacolleges.com
C-18064,"visakha institute of engineering & technology, 57th division,  narava,  pin- 530027(cc-nt)",Andhra Pradesh,https://www.viet.edu.in
C-48177,visat engineering college,Kerala,https://www.visat.in
C-18099,"vishnu institute of technology, vishnupur, bhimavaram, pin-534202(cc-pa)",Andhra Pradesh,https://www.vishnu.edu.in/
C-34168, vishnu waman thakur charitable trust's viva institute of technology at shirgoan post virar tal- vasai dist. -palghar -401305,Maharashtra,https://www.viva-technology.org
C-46257,"vishveswarya institute of technology, dadri,greater noida phase -ii,g b nagar",Uttar Pradesh,https://www.vgi.ac.in
C-41587,"vishwabharati  academys college of engineering, jamkhed road, ahmednagar",Maharashtra,https://www.vacoea.com
C-382,"vishwakarma government engineering college, chandkheda,gandhinagar 017 ",Gujarat,https://www.vgecg.ac.in
