Name,City,State,Rank
International Institute of Information Technology Bangalore,Bengaluru,Karnataka,69
Netaji Subhas University of Technology (NSUT),Delhi,Delhi,70
Banasthali Vidyapith,Banasthali,Rajasthan,71
Indian Institute of Technology Bhilai,Durg,Chhattisgarh,72
National Institute of Technology Srinagar,Srinagar,Jammu and Kashmi,73
University of Hyderabad,Hyderabad,Telangana,74
M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,75
Christ University,Bengaluru,Karnataka,76
Indian Institute of Technology Dharwad,Dharwad,Karnataka,77
Rajiv Gandhi Institute of Petroleum Technology,Amethi,Uttar Pradesh,78
Sant Longowal Institute of Engineering & Technology,Longowal,Punjab,79
"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,80
Maulana Azad National Institute of Technology Bhopal,Bhopal,Madhya Pradesh,81
National Institute of Technology Jamshedpur,Jamshedpur,Jharkhand,82
National Institute of Technology Meghalaya,Shillong,Meghalaya,83
"Jain university,Bangalore",Bengaluru,Karnataka,84
National Institute of Technology Kurukshetra,Kurukshetra,Haryana,85
"National Institute of Technology, Raipur",Raipur,Chhattisgarh,86
Vel Tech Rangarajan Dr. Sagunthala R &D Institute of Science and Technology,Chennai,Tamil Nadu,87
AU College of Engineering (A),Visakhapatnam,Andhra Pradesh,88
Chitkara University,Rajpura,Punjab,89
COEP Technological University,Pune,Maharashtra,90
SR University,Warangal,Telangana,91
Defence Institute of Advanced Technology,Pune,Maharashtra,92
Panjab University,Chandigarh,Chandigarh,93
Jawaharlal Nehru Technological University,Hyderabad,Telangana,94
"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,95
"Atal Bihari Vajpayee Indian Institute of Information Technologyand Management",Gwalior,Madhya Pradesh,96
National Institute of Technology Hamirpur,Hamirpur,Himachal Pradesh,97
Pandit Deendayal Energy University,Gandhinagar,Gujarat,98
National Institute of Technology Puducherry,Karaikal,Pondicherry,99
Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,100
